Date,Time,Ambient Light
12-12-2017,11:39:51,990.354736328125
12-12-2017,11:39:52,990.3623046875
12-12-2017,11:39:53,990.362487792969
12-12-2017,11:39:54,990.3662109375
12-12-2017,11:39:55,990.386779785156
12-12-2017,11:39:56,990.372009277344
12-12-2017,11:39:57,990.365844726563
12-12-2017,11:39:58,990.362609863281
12-12-2017,11:39:59,990.381774902344
12-12-2017,11:40:00,990.352966308594
12-12-2017,11:40:01,990.355590820313
12-12-2017,11:40:02,990.345031738281
12-12-2017,11:40:03,990.337951660156
12-12-2017,11:40:04,990.342651367188
12-12-2017,11:40:05,990.355285644531
12-12-2017,11:40:06,990.3466796875
12-12-2017,11:40:07,990.356384277344
12-12-2017,11:40:08,990.478271484375
12-12-2017,11:40:09,990.482971191406
12-12-2017,11:40:18,990.356140136719
12-12-2017,11:40:18,990.386596679688
12-12-2017,11:40:49,990.397888183594
12-12-2017,11:40:49,990.372375488281
12-12-2017,11:40:50,990.381774902344
12-12-2017,11:40:51,990.379089355469
12-12-2017,11:40:52,990.363159179688
12-12-2017,11:40:53,990.36669921875
12-12-2017,11:40:54,990.339416503906
12-12-2017,11:40:55,990.333557128906
12-12-2017,11:40:56,990.335754394531
12-12-2017,11:40:57,990.35888671875
12-12-2017,11:40:58,990.356689453125
12-12-2017,11:40:59,990.348266601563
12-12-2017,11:41:00,990.363464355469
12-12-2017,11:41:01,990.347229003906
12-12-2017,11:41:02,990.351013183594
12-12-2017,11:41:03,990.351745605469
12-12-2017,11:41:04,990.337463378906
12-12-2017,11:41:05,990.334716796875
12-12-2017,11:41:06,990.331237792969
12-12-2017,11:41:07,990.3310546875
12-12-2017,11:41:08,990.346984863281
12-12-2017,11:41:09,990.327331542969
12-12-2017,11:41:10,990.306335449219
12-12-2017,11:41:13,990.273315429688
12-12-2017,11:41:14,990.279296875
12-12-2017,11:41:15,990.295654296875
12-12-2017,11:41:16,990.2919921875
12-12-2017,11:41:18,990.296569824219
12-12-2017,11:41:18,990.310302734375
12-12-2017,11:41:19,990.287658691406
12-12-2017,11:41:20,990.276611328125
12-12-2017,11:41:22,990.285766601563
12-12-2017,11:41:23,990.280578613281
12-12-2017,11:41:24,990.27734375
12-12-2017,11:41:25,990.309020996094
12-12-2017,11:41:26,990.294677734375
12-12-2017,11:41:27,990.302490234375
12-12-2017,11:41:28,990.307800292969
12-12-2017,11:41:29,990.300842285156
12-12-2017,11:41:30,990.310424804688
12-12-2017,11:41:32,990.305847167969
12-12-2017,11:41:32,990.320190429688
12-12-2017,11:41:33,990.311218261719
12-12-2017,11:41:34,990.317077636719
12-12-2017,11:41:35,990.317565917969
12-12-2017,11:41:36,990.315856933594
12-12-2017,11:41:37,990.308471679688
12-12-2017,11:41:38,990.3173828125
12-12-2017,11:41:39,990.317016601563
12-12-2017,11:41:41,990.329040527344
12-12-2017,11:41:41,990.331787109375
12-12-2017,11:41:42,990.317810058594
12-12-2017,11:41:43,990.331848144531
12-12-2017,11:41:44,990.325317382813
12-12-2017,11:41:45,990.326721191406
12-12-2017,11:41:47,990.331604003906
12-12-2017,11:41:48,990.331237792969
12-12-2017,11:41:50,990.324890136719
12-12-2017,11:41:50,990.327270507813
12-12-2017,11:41:51,990.328247070313
12-12-2017,11:41:52,990.321533203125
12-12-2017,11:41:53,990.318969726563
12-12-2017,11:41:54,990.318176269531
12-12-2017,11:41:55,990.322448730469
12-12-2017,11:41:56,990.301696777344
12-12-2017,11:41:57,990.3095703125
12-12-2017,11:41:58,990.3173828125
12-12-2017,11:41:59,990.332092285156
12-12-2017,11:42:00,990.352172851563
12-12-2017,11:42:01,990.368041992188
12-12-2017,11:42:02,990.33984375
12-12-2017,11:42:03,990.340698242188
12-12-2017,11:42:04,990.350891113281
12-12-2017,11:42:05,990.359191894531
12-12-2017,11:42:06,990.338500976563
12-12-2017,11:42:07,990.340026855469
12-12-2017,11:42:08,990.326538085938
12-12-2017,11:42:09,990.318786621094
12-12-2017,11:42:10,990.324829101563
12-12-2017,11:42:11,990.34130859375
12-12-2017,11:42:12,990.337341308594
12-12-2017,11:42:13,990.342895507813
12-12-2017,11:42:14,990.325134277344
12-12-2017,11:42:15,990.324279785156
12-12-2017,11:42:16,990.325500488281
12-12-2017,11:42:17,990.343505859375
12-12-2017,11:42:18,990.340942382813
12-12-2017,11:42:19,990.360534667969
12-12-2017,11:42:20,990.364379882813
12-12-2017,11:42:21,990.345153808594
12-12-2017,11:42:22,990.347351074219
12-12-2017,11:42:23,990.341369628906
12-12-2017,11:42:24,990.344604492188
12-12-2017,11:42:25,990.338500976563
12-12-2017,11:42:26,990.359252929688
12-12-2017,11:42:27,990.367309570313
12-12-2017,11:42:28,990.372924804688
12-12-2017,11:42:29,990.375549316406
12-12-2017,11:42:30,990.373474121094
12-12-2017,11:42:31,990.358093261719
12-12-2017,11:42:32,990.359680175781
12-12-2017,11:42:33,990.343078613281
12-12-2017,11:42:34,990.325622558594
12-12-2017,11:42:35,990.377807617188
12-12-2017,11:42:36,990.380004882813
12-12-2017,11:42:37,990.354064941406
12-12-2017,11:42:38,990.369812011719
12-12-2017,11:42:39,990.370849609375
12-12-2017,11:42:40,990.345825195313
12-12-2017,11:42:41,990.352966308594
12-12-2017,11:42:42,990.361022949219
12-12-2017,11:42:43,990.306518554688
12-12-2017,11:43:53,990.337341308594
12-12-2017,11:43:53,990.272033691406
12-12-2017,11:43:54,990.252624511719
12-12-2017,11:43:55,990.247009277344
12-12-2017,11:43:56,990.255737304688
12-12-2017,11:43:57,990.252136230469
12-12-2017,11:43:58,990.242065429688
12-12-2017,11:43:59,990.257873535156
12-12-2017,11:44:00,990.270629882813
12-12-2017,11:44:01,990.274169921875
12-12-2017,11:44:02,990.288757324219
12-12-2017,11:44:03,990.277160644531
12-12-2017,11:44:04,990.285522460938
12-12-2017,11:44:05,990.283935546875
12-12-2017,11:44:06,990.275390625
12-12-2017,11:44:07,990.281799316406
12-12-2017,11:44:08,990.292175292969
12-12-2017,11:44:09,990.287414550781
12-12-2017,11:44:10,990.292114257813
12-12-2017,11:44:11,990.295532226563
12-12-2017,11:44:12,990.281616210938
12-12-2017,11:44:13,990.288757324219
12-12-2017,11:44:14,990.286926269531
12-12-2017,11:44:15,990.286987304688
12-12-2017,11:44:16,990.276611328125
12-12-2017,11:44:17,990.277954101563
12-12-2017,11:44:18,990.283569335938
12-12-2017,11:44:19,990.295104980469
12-12-2017,11:44:20,990.28466796875
12-12-2017,11:44:21,990.286560058594
12-12-2017,11:44:22,990.286926269531
12-12-2017,11:44:23,990.285034179688
12-12-2017,11:44:24,990.300964355469
12-12-2017,11:44:25,990.293090820313
12-12-2017,11:44:26,990.296630859375
