Date,Time,X,Y,Z
12-13-2017,12:07:20,5.70000028610229,-28.5000019073486,-34.8000030517578
12-13-2017,12:07:21,-11.7000007629395,-9.15000057220459,-37.3500022888184
12-13-2017,12:07:22,-10.3500003814697,-27.0000019073486,-31.6500015258789
12-13-2017,12:07:23,-4.65000009536743,-26.1000003814697,-36
12-13-2017,12:07:24,15.1500005722046,-27.3000011444092,-28.5000019073486
12-13-2017,12:07:25,13.8000001907349,-28.6500015258789,-31.6500015258789
12-13-2017,12:08:59,-11.8500003814697,-18.4500007629395,-36
12-13-2017,12:08:59,-8.40000057220459,-19.5,-35.5500030517578
12-13-2017,12:09:01,-10.2000007629395,-11.8500003814697,-53.8500022888184
12-13-2017,12:09:01,-12.6000003814697,-18.75,-37.9500007629395
12-13-2017,12:09:02,-9.60000038146973,-18.9000015258789,-41.8500022888184
12-13-2017,12:09:03,-9.15000057220459,-19.8000011444092,-42.4500007629395
12-13-2017,12:09:04,-7.20000028610229,-20.7000007629395,-32.8500022888184
12-13-2017,12:09:05,-9.60000038146973,-19.3500003814697,-40.6500015258789
12-13-2017,12:09:06,0.900000035762787,10.3500003814697,-37.9500007629395
12-13-2017,12:09:07,-9.30000019073486,15.9000005722046,-35.7000007629395
12-13-2017,12:09:08,-24.4500007629395,-5.70000028610229,-39
12-13-2017,12:09:09,-4.80000019073486,-11.25,-40.2000007629395
12-13-2017,12:09:10,1.95000004768372,-11.8500003814697,-42.9000015258789
12-13-2017,12:09:11,3.90000009536743,-16.6500015258789,-40.8000030517578
12-13-2017,12:09:12,-11.8500003814697,-18.75,-40.0500030517578
12-13-2017,12:09:13,-0.450000017881393,-6.90000009536743,-44.5500030517578
12-13-2017,12:09:14,-9.30000019073486,-1.80000007152557,-42.6000022888184
12-13-2017,12:09:15,1.20000004768372,5.40000009536743,-45.75
12-13-2017,12:09:16,-21,-6,-41.1000022888184
12-13-2017,12:09:17,-26.2500019073486,-13.0500001907349,-38.25
12-13-2017,12:09:18,-19.2000007629395,-10.0500001907349,-40.0500030517578
12-13-2017,12:09:19,-11.8500003814697,-8.70000076293945,-42.9000015258789
12-13-2017,12:09:20,-1.95000004768372,-15.0000009536743,-39.1500015258789
12-13-2017,12:09:21,-6.75000047683716,-12.9000005722046,-44.5500030517578
12-13-2017,12:09:22,-9.75,-12.1500005722046,-44.1000022888184
12-13-2017,12:10:11,6.90000009536743,-33.3000030517578,-43.9500007629395
12-13-2017,12:10:12,8.10000038146973,-32.4000015258789,-43.6500015258789
12-13-2017,12:10:13,4.95000028610229,-31.0500011444092,-44.5500030517578
12-13-2017,12:10:14,5.70000028610229,-33.4500007629395,-43.6500015258789
12-13-2017,12:10:15,6.60000038146973,-32.25,-44.25
12-13-2017,12:10:16,7.20000028610229,-32.5500030517578,-42.6000022888184
12-13-2017,12:10:17,5.70000028610229,-31.6500015258789,-42
12-13-2017,12:10:18,4.95000028610229,-32.4000015258789,-44.1000022888184
12-13-2017,12:10:19,4.20000028610229,-32.5500030517578,-43.0500030517578
12-13-2017,12:10:20,7.05000019073486,-34.2000007629395,-42.4500007629395
12-13-2017,12:10:21,6.30000019073486,-34.2000007629395,-42.4500007629395
12-13-2017,12:10:22,5.85000038146973,-32.5500030517578,-44.25
12-13-2017,12:10:23,5.55000019073486,-31.5000019073486,-43.9500007629395
12-13-2017,12:10:24,3.15000009536743,-32.5500030517578,-44.7000007629395
12-13-2017,12:10:25,9.60000038146973,-29.7000007629395,-46.8000030517578
12-13-2017,12:10:26,24,-33.75,-34.8000030517578
12-13-2017,12:10:27,22.2000007629395,-31.6500015258789,-40.8000030517578
12-13-2017,12:10:28,35.7000007629395,-27.0000019073486,-32.8500022888184
12-13-2017,12:10:29,24.9000015258789,-35.25,-38.4000015258789
12-13-2017,12:10:30,31.9500007629395,-42.3000030517578,-25.6500015258789
12-13-2017,12:10:31,34.6500015258789,-40.9500007629395,-22.3500003814697
12-13-2017,12:10:32,18.75,-48.7500038146973,-29.1000003814697
12-13-2017,12:10:33,18.6000003814697,-50.7000007629395,-30.9000015258789
12-13-2017,12:10:34,19.9500007629395,-48.9000015258789,-29.2500019073486
12-13-2017,12:10:35,22.3500003814697,-49.3500022888184,-30.9000015258789
12-13-2017,12:10:36,22.0500011444092,-49.6500015258789,-27.6000003814697
12-13-2017,12:10:37,24.3000011444092,-51.9000015258789,-23.4000015258789
12-13-2017,12:10:38,22.8000011444092,-50.7000007629395,-28.8000011444092
12-13-2017,12:10:39,21.1500015258789,-49.2000007629395,-30.3000011444092
12-13-2017,12:10:40,24.1500015258789,-52.0500030517578,-19.9500007629395
12-13-2017,12:10:41,17.1000003814697,-49.5000038146973,-30.6000003814697
12-13-2017,12:10:42,5.55000019073486,-50.7000007629395,-34.9500007629395
12-13-2017,12:10:43,-11.5500001907349,-53.7000007629395,-34.3500022888184
12-13-2017,12:10:44,-26.2500019073486,-42,-33.3000030517578
12-13-2017,12:10:45,-39.9000015258789,-21.75,-36.1500015258789
12-13-2017,12:10:46,-21,-16.5,-50.8500022888184
12-13-2017,12:10:47,1.95000004768372,-33.1500015258789,-51.0000038146973
12-13-2017,12:10:48,-12.9000005722046,-20.5500011444092,-50.2500038146973
12-13-2017,12:10:49,-11.8500003814697,-26.8500003814697,-51.7500038146973
12-13-2017,12:10:50,25.5000019073486,-49.5000038146973,-28.6500015258789
12-13-2017,12:10:52,39.1500015258789,-0.75,-31.6500015258789
12-13-2017,12:10:53,-17.5500011444092,-57.0000038146973,-26.4000015258789
