Date,Time,Ambient Light
12-12-2017,11:44:05,1.59831285476685
12-12-2017,11:44:06,1.31016337871552
12-12-2017,11:44:07,2.11309719085693
12-12-2017,11:44:08,9.86723518371582
12-12-2017,11:44:09,26.5550880432129
12-12-2017,11:44:10,32.5371551513672
12-12-2017,11:44:11,29.0480709075928
12-12-2017,11:44:12,73.824577331543
12-12-2017,11:44:13,59.8574142456055
12-12-2017,11:44:14,43.9724922180176
12-12-2017,11:44:15,23.3001861572266
12-12-2017,11:44:16,18.1501865386963
12-12-2017,11:44:17,15.8115339279175
12-12-2017,11:44:18,36.8658790588379
12-12-2017,11:44:19,31.5799045562744
12-12-2017,11:44:20,43.1717147827148
12-12-2017,11:44:21,70.9301376342773
12-12-2017,11:44:22,106.703842163086
12-12-2017,11:44:23,121.086486816406
12-12-2017,11:44:24,112.764724731445
12-12-2017,11:44:25,81.7621841430664
12-12-2017,11:44:26,2.36455345153809
12-12-2017,11:44:27,143.163925170898
12-12-2017,11:44:28,120.553367614746
12-12-2017,11:44:29,7.90954446792603
12-12-2017,11:44:30,2.36671209335327
12-12-2017,11:44:31,1.82278895378113
12-12-2017,11:44:32,1.56377804279327
12-12-2017,11:44:33,7.46167039871216
12-12-2017,11:44:34,0.543922781944275
12-12-2017,11:44:35,1.05439007282257
12-12-2017,11:44:36,0.284911930561066
12-12-2017,11:44:37,0.512625753879547
12-12-2017,11:44:38,1.05654859542847
12-12-2017,11:44:39,13.9984569549561
12-12-2017,11:44:40,20.0906105041504
12-12-2017,11:44:41,23.0627613067627
12-12-2017,11:44:42,53.5289154052734
12-12-2017,11:44:43,118.869789123535
12-12-2017,11:44:44,137.247695922852
12-12-2017,11:44:45,83.8472137451172
12-12-2017,11:44:46,83.3227157592773
12-12-2017,11:44:47,59.7548828125
12-12-2017,11:44:48,36.7665939331055
12-12-2017,11:44:49,72.8554382324219
12-12-2017,11:44:50,113.348571777344
12-12-2017,11:44:51,106.13941192627
12-12-2017,11:44:52,30.9895648956299
12-12-2017,11:44:53,59.6458892822266
12-12-2017,11:44:54,1.56377804279327
12-12-2017,11:44:55,11.8832025527954
12-12-2017,11:44:56,15.3431568145752
12-12-2017,11:44:57,1.56377804279327
12-12-2017,11:44:58,8.39734840393066
12-12-2017,11:44:59,44.6059837341309
12-12-2017,11:45:00,52.4853210449219
12-12-2017,11:45:01,98.183464050293
12-12-2017,11:45:02,19.1052875518799
12-12-2017,11:45:04,14.7128953933716
12-12-2017,11:45:04,11.3727340698242
12-12-2017,11:45:05,8.16963481903076
12-12-2017,11:45:06,10.0863151550293
12-12-2017,11:45:08,8.36065483093262
12-12-2017,11:45:08,4.19597625732422
12-12-2017,11:45:09,11.1547355651855
12-12-2017,11:45:10,16.0802612304688
12-12-2017,11:45:12,12.5015916824341
12-12-2017,11:45:13,94.6414794921875
12-12-2017,11:45:13,120.355888366699
12-12-2017,11:45:14,54.1181678771973
12-12-2017,11:45:16,29.032958984375
12-12-2017,11:45:16,6.63067770004272
12-12-2017,11:45:17,14.867223739624
12-12-2017,11:45:18,8.26244640350342
12-12-2017,11:45:20,5.31727695465088
12-12-2017,11:45:20,3.39520072937012
12-12-2017,11:45:21,4.45498752593994
12-12-2017,11:45:22,4.19597625732422
12-12-2017,11:45:24,2.9764666557312
12-12-2017,11:45:24,103.493186950684
12-12-2017,11:45:25,78.4133758544922
12-12-2017,11:45:26,3.9704213142395
12-12-2017,11:45:29,14.1624975204468
12-12-2017,11:45:29,1.56377804279327
12-12-2017,11:45:30,11.6576452255249
12-12-2017,11:45:31,2.65486145019531
12-12-2017,11:45:33,2.14439392089844
12-12-2017,11:45:33,77.9557952880859
12-12-2017,11:45:34,89.3339309692383
12-12-2017,11:45:35,64.612419128418
12-12-2017,11:45:36,4.51434373855591
12-12-2017,11:45:38,12.4907999038696
