Date,Time,Orientation
12-13-2017,12:12:05,308.758018638881
12-13-2017,12:12:06,284.355156338299
12-13-2017,12:12:07,298.911860403106
12-13-2017,12:12:08,307.755452736655
12-13-2017,12:12:09,339.049228004065
12-13-2017,12:12:10,86.519713763844
12-13-2017,12:12:11,96.2163557435927
12-13-2017,12:12:12,82.5477060444823
12-13-2017,12:12:13,90.6009703589801
12-13-2017,12:12:14,103.919326976317
12-13-2017,12:12:15,101.269985389728
12-13-2017,12:12:16,98.3672301245539
12-13-2017,12:12:17,99.8931490266481
12-13-2017,12:12:18,106.34381190524
12-13-2017,12:12:19,93.2268775665265
12-13-2017,12:12:20,113.441375660502
12-13-2017,12:12:21,206.34743605399
12-13-2017,12:12:22,191.40242207449
12-13-2017,12:12:23,171.655344333898
12-13-2017,12:12:24,188.806922869128
12-13-2017,12:12:25,83.5513135505565
12-13-2017,12:12:26,148.19401336512
12-13-2017,12:12:27,164.820701880547
12-13-2017,12:12:28,188.436385106655
12-13-2017,12:12:29,119.829439855351
12-13-2017,12:12:30,97.9446258300377
12-13-2017,12:12:31,60.2469539892831
12-13-2017,12:12:32,105.727462464727
12-13-2017,12:12:33,148.786341030322
12-13-2017,12:12:34,212.502488345303
12-13-2017,12:12:35,40.8147994232192
12-13-2017,12:12:43,66.9118389210032
12-13-2017,12:12:44,328.852708384625
12-13-2017,12:13:01,168.912558929275
12-13-2017,12:13:01,84.6542729882976
12-13-2017,12:13:02,50.3172078984456
12-13-2017,12:13:03,85.3052719784699
12-13-2017,12:13:04,305.476061516271
12-13-2017,12:13:06,15.8267248070041
12-13-2017,12:13:07,296.535862987101
12-13-2017,12:13:08,338.88844705855
12-13-2017,12:13:09,11.7296512012975
12-13-2017,12:14:02,59.0566569226249
12-13-2017,12:14:02,359.129117103403
12-13-2017,12:14:03,162.390547894613
12-13-2017,12:14:04,38.6960064407895
12-13-2017,12:14:05,48.7421321248949
12-13-2017,12:14:06,80.1990225549683
12-13-2017,12:14:07,178.142439441523
12-13-2017,12:14:08,24.4148185467232
12-13-2017,12:14:09,338.596053490371
12-13-2017,12:14:10,20.7858656161619
12-13-2017,12:14:11,11.8990142795045
12-13-2017,12:14:12,232.470737629132
12-13-2017,12:14:13,337.396902791001
12-13-2017,12:14:14,10.6969786789841
12-13-2017,12:14:15,32.598088681883
12-13-2017,12:14:16,31.3728142164853
12-13-2017,12:14:17,47.0300359264044
12-13-2017,12:14:30,11.0145850367106
12-13-2017,12:16:04,31.6618405014035
12-13-2017,12:16:04,114.852513233594
12-13-2017,12:16:04,90.4765926141941
12-13-2017,12:16:04,49.3939883038079
12-13-2017,12:16:05,44.4844107623624
12-13-2017,12:16:06,79.1022990799394
12-13-2017,12:17:15,64.3638505115083
12-13-2017,12:17:15,87.3089352922498
12-13-2017,12:17:15,118.200098228844
12-13-2017,12:17:15,242.309802713454
12-13-2017,12:17:15,254.437411471648
12-13-2017,12:17:15,337.382542318271
12-13-2017,12:17:16,288.619837663596
12-13-2017,12:17:17,293.728593766523
12-13-2017,12:17:18,303.59210068279
12-13-2017,12:17:19,292.951680239002
12-13-2017,12:17:20,265.086912651937
12-13-2017,12:17:21,285.326095049573
12-13-2017,12:17:23,291.557515685997
12-13-2017,12:17:24,30.1217796926328
12-13-2017,12:17:25,292.861562723092
12-13-2017,12:18:10,125.879648742905
12-13-2017,12:18:10,264.740396664775
12-13-2017,12:18:11,270.32103687708
12-13-2017,12:18:12,280.59166063392
12-13-2017,12:18:13,287.411440595637
12-13-2017,12:18:25,138.033068785972
12-13-2017,12:18:25,181.315120594973
12-13-2017,12:18:25,12.9850041122527
12-13-2017,12:18:26,325.899997115861
12-13-2017,12:18:32,340.045610877544
12-13-2017,12:18:44,0.363044991592858
12-13-2017,12:18:45,191.41591852829
12-13-2017,12:18:46,304.926914307002
12-13-2017,12:19:17,8.60995802902602
12-13-2017,12:19:17,315.391354926824
12-13-2017,12:19:17,357.497268637389
12-13-2017,12:19:18,23.2856516731367
12-13-2017,12:19:19,31.2133190540817
12-13-2017,12:19:20,52.2351147721014
12-13-2017,12:19:21,23.7495273857127
12-13-2017,12:19:22,301.713487887429
12-13-2017,12:19:23,308.773991036255
12-13-2017,12:19:24,123.262853007711
12-13-2017,12:19:25,31.3091773439883
12-13-2017,12:19:26,50.2748299897403
12-13-2017,12:19:27,352.205820128646
12-13-2017,12:19:28,21.5908256079627
12-13-2017,12:19:29,297.629656310976
12-13-2017,12:19:30,307.627724784081
12-13-2017,12:19:35,326.352770355941
12-13-2017,12:19:36,106.63175219008
12-13-2017,12:19:37,223.975116113039
12-13-2017,12:19:38,224.753047338746
12-13-2017,12:19:39,201.810332633647
12-13-2017,12:19:54,205.628066870225
12-13-2017,12:19:54,215.679796724545
12-13-2017,12:19:55,167.586846532132
12-13-2017,12:19:56,194.470201540201
12-13-2017,12:19:57,212.466001474757
12-13-2017,12:19:58,205.404364514529
12-13-2017,12:19:59,201.341453807504
12-13-2017,12:20:08,197.603236633242
12-13-2017,12:20:08,328.642253180824
12-13-2017,12:20:10,65.4357462489043
12-13-2017,12:20:11,238.700525850344
12-13-2017,12:20:17,155.800316930521
12-13-2017,12:20:17,173.623695569669
12-13-2017,12:20:18,103.74204258622
12-13-2017,12:20:19,290.650555356678
12-13-2017,12:20:20,180.807364332074
12-13-2017,12:20:21,270.743367964029
12-13-2017,12:20:22,269.283517481777
12-13-2017,12:20:23,279.503823235001
12-13-2017,12:20:24,251.756364146932
12-13-2017,12:20:25,185.092160564477
12-13-2017,12:20:26,170.959511982014
12-13-2017,12:20:27,226.034459128932
12-13-2017,12:20:28,271.865199214447
12-13-2017,12:20:29,338.34426368926
12-13-2017,12:20:30,48.9909422559801
12-13-2017,12:20:31,314.721149444706
12-13-2017,12:20:32,337.291576151358
